id,date,tip,period,n_sentences,n_words,n_unique_lemmas,sent_len_mean,sent_len_std,sent_len_p95,word_len_mean,tree_depth_mean,tree_depth_max,ttr_lemma,mtld,func_ratio
2025-05-08_dezbatere-euronews-simion,2025-05-08,dezbatere-electorala,2025Q2 campanie + investitură,5,63,44,12.6,4.560701700396552,16,4.920634920634921,4.0,5,0.6984126984126984,49.875,0.5555555555555556
2024-12-16_anunt-candidatura,2024-12-16,anunt-candidatura,2024Q4-2025Q1 candidatură-precampanie,10,120,76,12.5,7.412451985979028,18,5.158333333333333,3.1818181818181817,7,0.6333333333333333,66.36726921632786,0.5416666666666666
2025-02-03_lansare-campanie-romania-onesta,2025-02-03,lansare-campanie,2024Q4-2025Q1 candidatură-precampanie,13,188,102,15.0,10.64581294844754,26,5.303191489361702,4.0,8,0.5425531914893617,47.0,0.5106382978723404
2025-05-19_discurs-victorie,2025-05-19,discurs-victorie,2025Q2 campanie + investitură,17,270,118,15.941176470588236,9.058632541913363,29,4.7407407407407405,4.588235294117647,9,0.43703703703703706,30.604072398190045,0.5481481481481482
2025-05-26_discurs-investitura,2025-05-26,discurs-investitura,2025Q2 campanie + investitură,25,1037,371,41.48,28.814232594327407,75,5.529411764705882,6.24,14,0.35776277724204436,40.199982110912345,0.49083895853423337
2025-06-04_conferinta-presa-cotroceni,2025-06-04,conferinta-presa,2025Q3 deficit + reforma economică,9,110,72,12.333333333333334,5.937171043518958,17,4.863636363636363,3.4444444444444446,6,0.6545454545454545,55.730537449268226,0.5
2025-09-04_autoevaluare-100-zile,2025-09-04,interviu-autoevaluare,2025Q4 stabilizare + diplomație,17,166,102,9.941176470588236,4.6699918125636755,16,4.63855421686747,3.2222222222222223,5,0.6144578313253012,53.84009386523634,0.5783132530120482
2025-12-31_mesaj-anul-nou,2025-12-31,mesaj-anul-nou,2025Q4-2026Q1 reformă judiciară,15,291,158,19.6,9.708611788363095,37,4.982817869415808,4.733333333333333,7,0.5429553264604811,75.53238432777691,0.5017182130584192
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,video-transcript,2024Q4-2025Q1 candidatură-precampanie,2,2453,546,1240.5,1655.3369747577078,70,4.185079494496535,17.5,28,0.22258459029759478,48.33958791818073,0.600896860986547
2024-12-16_nicusor-dan-despre-calin-georgescu-in-ceea-ce-priveste-conte,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,1,70,50,70.0,0.0,70,4.828571428571428,9.0,9,0.7142857142857143,53.91544117647059,0.5571428571428572
2024-12-16_nicusor-dan-intentionez-sa-candidez-ca-independent-la-aleger,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,1,710,260,716.0,0.0,716,4.857746478873239,24.0,24,0.36619718309859156,45.41288782816229,0.5732394366197183
2024-12-16_nicusor-dan-si-a-anuntat-candidatura-la-alegerile-prezidenti,2024-12-16,video-transcript,2024Q4-2025Q1 candidatură-precampanie,2,2531,546,1276.0,379.00923471598946,1008,4.582378506519162,26.0,28,0.21572500987751878,45.13045086269043,0.5748715922560252
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,8,4252,718,539.75,560.4818717598532,981,4.312793979303857,13.875,23,0.16886171213546566,43.483768070470674,0.5787864534336783
2024-12-19_nicusor-dan-dupa-retragerea-psd-de-la-negocieri-sunt-surprin,2024-12-19,video-transcript,2024Q4-2025Q1 candidatură-precampanie,1,521,185,527.0,0.0,527,4.642994241842611,16.0,16,0.3550863723608445,33.049064817290535,0.5566218809980806
