entity,period,n_passages,n_docs,sentiment,confidence,rationale
ROMÂNIA,2024Q4-2025Q1 candidatură-precampanie,9,8,n/a,?,timeout: 'list' object is not a mapping
ROMÂNIA,2025Q4 stabilizare + diplomație,73,55,n/a,?,timeout: 'list' object is not a mapping
ROMÂNIA,2025Q3 deficit + reforma economică,42,38,n/a,?,timeout: 'list' object is not a mapping
ROMÂNIA,2025Q2 campanie + investitură,138,129,n/a,?,timeout: 'list' object is not a mapping
UCRAINA,2025Q2 campanie + investitură,3,3,pozitiv,high,"Nicușor Dan exprimă speranța pentru redeschiderea dialogului și negocierilor de pace pentru Ucraina, condamnă atacurile Rusiei asupra Ucrainei și subliniază importanța păcii în Ucraina pentru securitatea României și a Europei."
UCRAINA,2025Q4 stabilizare + diplomație,4,4,pozitiv,high,"Nicușor Dan menționează Ucraina în contextul eforturilor de reconstrucție, al sprijinirii integrării sale europene și al oferirii de sprijin pentru securitatea regională, indicând o atitudine favorabilă și de susținere."
ROMÂNIA,2025Q4-2026Q1 reformă judiciară,61,47,n/a,?,timeout: 'list' object is not a mapping
UCRAINA,2025Q4-2026Q1 reformă judiciară,5,5,pozitiv,high,"Nicușor Dan exprimă sprijin constant și recunoștință față de Ucraina, considerând securitatea acesteia esențială pentru securitatea României și a Europei, și menționând sprijinul continuu al României."
UCRAINA,2026Q2 cotitură UE + criză guvern,14,11,pozitiv,high,"Nicușor Dan exprimă în mod repetat sprijin ferm pentru Ucraina, atât în contextul integrării europene, cât și în cel al apărării și securității regionale, menționând colaborări strategice și asistență continuă. De asemenea, el subliniază că 'De securitatea lor depinde securitatea noastră'."
R. MOLDOVA,2025Q2 campanie + investitură,9,9,pozitiv,high,"Nicușor Dan exprimă în mod constant susținere fermă pentru Republica Moldova, în special pentru aderarea acesteia la UE, și subliniază legăturile strânse dintre cele două țări. Exemple includ 'susținerea fermă a aderării Republicii Moldova la Uniunea Europeană' și 'Republica Moldova este cel mai apr"
ROMÂNIA,2026Q2 cotitură UE + criză guvern,59,45,n/a,?,timeout: 'list' object is not a mapping
UCRAINA,2025Q3 deficit + reforma economică,12,10,n/a,?,timeout: 'list' object is not a mapping
R. MOLDOVA,2025Q3 deficit + reforma economică,8,8,pozitiv,high,"Nicușor Dan exprimă în mod repetat sprijinul 'cuprinzător, sincer și constant' al României pentru Republica Moldova, menționând colaborarea în domenii strategice și reafirmând legăturile puternice și viitorul european comun."
R. MOLDOVA,2025Q4-2026Q1 reformă judiciară,3,3,pozitiv,high,"Nicușor Dan exprimă un sprijin clar și constant pentru Republica Moldova, considerând securitatea acesteia esențială pentru securitatea României și susținând aderarea sa la Uniunea Europeană."
R. MOLDOVA,2025Q4 stabilizare + diplomație,9,9,pozitiv,high,"Nicușor Dan exprimă un sprijin ferm și constant pentru integrarea europeană a Republicii Moldova, încurajează participarea la vot și felicită cetățenii pentru parcursul democratic, subliniind legăturile istorice și culturale."
R. MOLDOVA,2026Q2 cotitură UE + criză guvern,10,10,pozitiv,high,"Nicușor Dan exprimă în mod constant sprijin și angajament pentru Republica Moldova, menționând colaborarea, integrarea europeană și asistența în fața amenințărilor."
UE,2025Q3 deficit + reforma economică,3,3,pozitiv,high,"Nicușor Dan menționează UE în contextul condamnării implicării forțelor străine, al contribuției la siguranța României și al apartenenței la UE ca un lucru pe care nu-l va schimba, indicând o atitudine favorabilă."
UE,2025Q4 stabilizare + diplomație,5,4,pozitiv,high,"Nicușor Dan susține activ extinderea UE, oferă sprijin statelor candidate și subliniază importanța colaborării în cadrul UE pentru securitate și dezvoltare economică, precum și pentru integrarea Republicii Moldova."
UE,2025Q2 campanie + investitură,8,7,pozitiv,high,"Nicușor Dan susține ferm aderarea Republicii Moldova la UE, consideră apartenența României la UE esențială și celebrează valorile europene, menționând beneficiile primite de România din fonduri europene. El afirmă că 'Aderarea Republicii Moldova la Uniunea Europeană este o prioritate esențială pentr"
NATO,2025Q2 campanie + investitură,5,3,pozitiv,high,"Nicușor Dan exprimă o atitudine puternic favorabilă față de NATO, considerând-o vitală pentru securitatea României și un garant al păcii, angajându-se să susțină activ apartenența României la această alianță."
NATO,2025Q4 stabilizare + diplomație,6,4,pozitiv,high,"Nicușor Dan menționează NATO în contextul securității României și a flancului estic, participării la exerciții militare comune și a parteneriatului strategic, subliniind încrederea deplină în capacitatea NATO de a apăra teritoriul aliat și de a asigura securitatea."
NATO,2025Q3 deficit + reforma economică,6,5,n/a,?,timeout: 'list' object is not a mapping
NATO,2025Q4-2026Q1 reformă judiciară,4,4,pozitiv,high,"Nicușor Dan menționează NATO în contextul consolidării capacității de apărare, coordonării strânse cu UE, îndeplinirii angajamentelor României în cadrul NATO și acțiunilor comune pentru protejarea cetățenilor și teritoriului."
NATO,2026Q2 cotitură UE + criză guvern,10,10,pozitiv,high,"Nicușor Dan menționează NATO în contextul parteneriatelor de încredere, al apărării României, al sprijinului pentru Ucraina și al importanței strategice pentru securitatea euro-atlantică, subliniind angajamentele și beneficiile apartenenței la Alianță. Afirmații precum 'România este apărată, este pa"
UE,2025Q4-2026Q1 reformă judiciară,18,14,n/a,?,timeout: 'list' object is not a mapping
RUSIA,2025Q2 campanie + investitură,5,5,negativ,high,"Nicușor Dan critică vehement Rusia pentru intervenția în alegerile prezidențiale românești, pentru amenințările hibride, invazia ilegală a Ucrainei, crimele de război și atacurile criminale, condamnând ferm acțiunile acesteia."
UE,2026Q2 cotitură UE + criză guvern,11,9,n/a,?,timeout: 'list' object is not a mapping
RUSIA,2025Q4-2026Q1 reformă judiciară,5,4,negativ,high,"Nicușor Dan critică acțiunile Rusiei, descriind războiul împotriva Ucrainei ca o 'agresiune' și o 'amenințare majoră', și menționând că 'Rusia a atacat Ucraina, declanșând un război fără milă'."
RUSIA,2025Q3 deficit + reforma economică,8,7,negativ,high,"Nicușor Dan critică în mod repetat acțiunile Rusiei, descriind-o ca o 'amenințare constantă', acuzând-o de 'agresiuni de natură cibernetică, manipulare și dezinformare', și afirmând că 'Rusia nu își respectă propriile angajamente' și 'nu își dorește pacea'."
SUA,2025Q3 deficit + reforma economică,4,4,pozitiv,high,"Nicușor Dan salută determinarea președintelui SUA și exprimă disponibilitatea de a contribui alături de Statele Unite la oferirea de garanții de securitate, subliniind cooperarea strânsă Europa - SUA ca o investiție în securitate."
SUA,2025Q2 campanie + investitură,6,6,mixt,high,"Nicușor Dan subliniază importanța strategică a SUA pentru România și necesitatea consolidării parteneriatului, dar critică acțiunile SUA care pot afecta România (tarife) și menționează probleme legate de relația României cu SUA (lipsa dialogului, pierderea programului de vize)."
SUA,2026Q2 cotitură UE + criză guvern,7,7,pozitiv,high,"Nicușor Dan menționează SUA în contextul unui parteneriat strategic, al colaborării militare pentru securitatea României și al aprecierii succeselor românești în competiții găzduite de SUA, precum și al importanței relației transatlantice."
RUSIA,2026Q2 cotitură UE + criză guvern,7,6,n/a,?,timeout: 'list' object is not a mapping
OCDE,2025Q3 deficit + reforma economică,3,3,pozitiv,high,"Nicușor Dan menționează intrarea în OCDE ca un obiectiv strategic și un moment de la care economia României se va relansa, mulțumind pentru susținerea în acest proces."
RUSIA,2025Q4 stabilizare + diplomație,9,9,n/a,?,timeout: 'list' object is not a mapping
OCDE,2025Q4-2026Q1 reformă judiciară,3,2,pozitiv,high,"Nicușor Dan menționează OCDE ca un standard de îndeplinit și un obiectiv strategic, afirmând că aderarea la OCDE va fi un instrument de promovare a economiei românești."
OCDE,2026Q2 cotitură UE + criză guvern,4,4,pozitiv,high,"Nicușor Dan exprimă o atitudine puternic pozitivă față de OCDE, considerând aderarea un 'progres major' și mulțumind pentru sprijinul acordat, subliniind beneficiile economice și de modernizare."
POLONIA,2025Q2 campanie + investitură,3,3,pozitiv,high,"Nicușor Dan exprimă aprecieri, dorințe de parteneriat și susținere pentru lideri polonezi, subliniind valori comune și o colaborare puternică între România și Polonia."
OCDE,2025Q4 stabilizare + diplomație,9,5,pozitiv,high,"Nicușor Dan menționează constant OCDE ca un obiectiv strategic pentru România, asociind aderarea cu beneficii economice semnificative, recunoaștere internațională și aliniere la standarde înalte de integritate și dezvoltare. El subliniază progresele României în procesul de aderare și importanța aces"
POLONIA,2026Q2 cotitură UE + criză guvern,7,6,pozitiv,high,"Nicușor Dan vorbește constant favorabil despre Polonia, evidențiind colaborarea, parteneriatul strategic și interesele comune în securitate și economie. Expresii precum 'dialog substanțial', 'Parteneriat Strategic solid' și 'parteneri de încredere și aliați' subliniază o atitudine pozitivă."
SUA,2025Q4-2026Q1 reformă judiciară,13,10,n/a,?,timeout: 'list' object is not a mapping
FRANȚA,2025Q4-2026Q1 reformă judiciară,5,4,pozitiv,high,"Nicușor Dan exprimă o atitudine favorabilă față de Franța, subliniind prietenia profundă, parteneriatul strategic, cooperarea economică și culturală, și recunoștința pentru sprijinul militar. Toate extrasele conțin elemente de apreciere și susținere a relațiilor bilaterale."
FRANȚA,2025Q4 stabilizare + diplomație,4,3,n/a,?,timeout: 'list' object is not a mapping
CIOLACU,2025Q2 campanie + investitură,6,6,negativ,high,"Nicușor Dan critică vehement acțiunile lui Marcel Ciolacu, acuzându-l de 'politică externă paralelă', 'discreditare majoră a României', 'pericol pentru credibilitatea țării și siguranța românilor', 'cenzură' și 'restrângerea libertăților democratice'."
MAIA SANDU,2025Q3 deficit + reforma economică,3,3,pozitiv,high,Nicușor Dan menționează discuții substanțiale axate pe cooperare și îi mulțumește Maiei Sandu pentru invitație și pentru exemplul oferit în apărarea limbii române și a valorilor democratice.
UK,2025Q4-2026Q1 reformă judiciară,4,3,pozitiv,high,"Nicușor Dan menționează dialogul aplicat cu oameni de afaceri români din Regatul Unit, reconfirmă angajamentul României de a consolida relațiile comerciale și economice cu Regatul Unit și încurajează investitorii britanici. De asemenea, apreciază sprijinul Fundației Rațiu pentru studii în Marea Brit"
TRUMP,2025Q4-2026Q1 reformă judiciară,4,4,pozitiv,high,"Nicușor Dan susține eforturile președintelui SUA, Donald Trump, de negociere a păcii și participă la inițiativele sale, cum ar fi Consiliul Păcii."
RUTTE,2026Q2 cotitură UE + criză guvern,4,3,pozitiv,high,"Nicușor Dan menționează întâlniri și dialoguri constructive cu Mark Rutte, informându-l despre subiecte importante și mulțumindu-i pentru participarea la summit, ceea ce indică o atitudine favorabilă și de colaborare."
PSD,2025Q2 campanie + investitură,4,4,negativ,high,"Nicușor Dan critică vehement PSD pentru cheltuirea banilor publici pe propagandă, incompetență în gestionarea PNRR și tupeu, acuzându-i de 'ofensă' și 'mafie imobiliară'."
