entity,period,n_passages,n_docs,sentiment,confidence,rationale
ROMÂNIA,2025Q2 campanie + investitură,243,173,n/a,?,timeout: 'list' object is not a mapping
ROMÂNIA,2025Q3 deficit + reforma economică,146,62,n/a,?,timeout: 'list' object is not a mapping
ROMÂNIA,2025Q4 stabilizare + diplomație,160,81,n/a,?,timeout: 'list' object is not a mapping
ROMÂNIA,2024Q4-2025Q1 candidatură-precampanie,58,28,n/a,?,timeout: 'list' object is not a mapping
UCRAINA,2025Q2 campanie + investitură,8,7,n/a,?,timeout: 'list' object is not a mapping
ROMÂNIA,2025Q4-2026Q1 reformă judiciară,169,95,n/a,?,timeout: 'list' object is not a mapping
ROMÂNIA,2026Q2 cotitură UE + criză guvern,171,88,n/a,?,timeout: 'list' object is not a mapping
UCRAINA,2025Q3 deficit + reforma economică,29,20,n/a,?,timeout: 'list' object is not a mapping
UCRAINA,2026Q2 cotitură UE + criză guvern,45,33,pozitiv,high,"Nicușor Dan exprimă în mod repetat susținere fermă pentru Ucraina, atât în contextul integrării europene, cât și în cel al cooperării în domeniul apărării și securității energetice, menționând 'sprijinirea Ucrainei și Republica Moldova pe calea lor către integrarea europeană' și 'România va continua"
UCRAINA,2025Q4-2026Q1 reformă judiciară,27,15,n/a,?,timeout: 'list' object is not a mapping
UCRAINA,2025Q4 stabilizare + diplomație,26,20,n/a,?,timeout: 'list' object is not a mapping
R. MOLDOVA,2025Q3 deficit + reforma economică,24,18,n/a,?,timeout: 'list' object is not a mapping
R. MOLDOVA,2025Q4-2026Q1 reformă judiciară,7,5,pozitiv,high,"Nicușor Dan exprimă în mod repetat sprijinul României pentru Republica Moldova, în special în contextul securității și al aderării la Uniunea Europeană, considerând securitatea R. Moldova ca fiind direct legată de securitatea României și menționând că 'nu ne va fi indiferentă soarta unui stat în car"
R. MOLDOVA,2025Q2 campanie + investitură,29,23,n/a,?,timeout: 'list' object is not a mapping
R. MOLDOVA,2026Q2 cotitură UE + criză guvern,20,19,n/a,?,timeout: 'list' object is not a mapping
