id,data,period,topic_id,topic_label
2025-02-20_in-orasele-din-moldova-pe-care-le-am-vizitat-recent-am-intal,2025-02-20,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-20_romania-asteapta-o-schimbare-reala-romania-puternica-are-nev,2025-02-20,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-21_discutiile-internationale-despre-reconfigurarea-securitatii,2025-02-21,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-21_impreuna-pentru-romania-onesta,2025-02-21,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-21_presedintele-trebuie-sa-uneasca-energiile-din-societate-doar,2025-02-21,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-21_ultimul-dintre-studiile-de-fundamentare-necesare-pentru-actu,2025-02-21,2024Q4-2025Q1 candidatură-precampanie,1,1_bucurești_str_oraș_fonduri
2025-02-21_vrei-sa-fii-parte-din-schimbare-alatura-te-echipei-de-volunt,2025-02-21,2024Q4-2025Q1 candidatură-precampanie,6,6_voluntari_onestă_românia onestă_campaniei
2025-02-22_bucurestiul-este-finalist-la-premiile-saptamanii-europene-a,2025-02-22,2024Q4-2025Q1 candidatură-precampanie,1,1_bucurești_str_oraș_fonduri
2025-02-22_in-vremuri-complicate-singura-resursa-ramane-discernamantul,2025-02-22,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-23_am-discutat-in-acest-week-end-cu-oameni-din-ploiesti-brasov,2025-02-23,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-23_felicit-blocul-de-centru-dreapta-pro-european-cdu-csu-pentru,2025-02-23,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-23_grup-de-suport-pentru-femeile-afectate-de-violenta-domestica,2025-02-23,2024Q4-2025Q1 candidatură-precampanie,1,1_bucurești_str_oraș_fonduri
2025-02-24_proiectul-politic-care-va-avea-cei-mai-multi-cei-mai-entuzia,2025-02-24,2024Q4-2025Q1 candidatură-precampanie,6,6_voluntari_onestă_românia onestă_campaniei
2025-02-25_cifrele-vorbesc-clar-suntem-pe-drumul-cel-bun-si-romania-one,2025-02-25,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-25_impreuna-vom-reusi-romaniaonesta-romaniputernica-nicusorpres,2025-02-25,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-25_mai-bine-mai-tarziu-decat-niciodata-alegerile-trebuie-organi,2025-02-25,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-26_daca-voi-avea-increderea-romanilor-voi-fi-un-presedinte-acti,2025-02-26,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-26_suntem-aproape-de-100-000-de-semnaturi-pentru-depunerea-cand,2025-02-26,2024Q4-2025Q1 candidatură-precampanie,6,6_voluntari_onestă_românia onestă_campaniei
2025-02-27_500-de-copii-vor-fi-ajutati-sa-ramana-alaturi-de-familiile-l,2025-02-27,2024Q4-2025Q1 candidatură-precampanie,1,1_bucurești_str_oraș_fonduri
2025-02-27_in-sibiu-am-descoperit-aceleasi-probleme-ca-la-bucuresti-cup,2025-02-27,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-27_mai-multe-despre-copilaria-mea-la-fagaras-maine-dimineata-ro,2025-02-27,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-27_maine-dimineata-lansam-un-video-despre-copilaria-mea-la-faga,2025-02-27,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-27_toata-viata-mea-am-luptat-pentru-dreptate-pentru-protectia-c,2025-02-27,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-28_casa-bunicii-romaniaonesta-nicusorpresedinte,2025-02-28,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-28_cred-ca-e-important-sa-stiti-de-unde-vin-daca-si-voua-vi-se,2025-02-28,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-28_despre-mentinerea-legaturii-cu-parintii-cand-eram-in-straina,2025-02-28,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-28_este-profund-ingrijorator-ca-romania-a-fost-retrogradata-in,2025-02-28,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-28_in-politica-noastra-externa-trebuie-sa-punem-intotdeauna-pe,2025-02-28,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-28_mergeam-la-colindat-romaniaonesta-nicusorpresedinte,2025-02-28,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-02-28_sust-in-ferm-ucraina-i-n-lupta-sa-pentru-o-pace-justa-s-i-su,2025-02-28,2024Q4-2025Q1 candidatură-precampanie,0,0_românia_romaniaonesta_româniei_trebuie
2025-03-01_ce-le-as-spune-copiilor-din-orasele-mici-ale-romaniei-asa-cu,2025-03-01,2025Q2 campanie + investitură,0,0_românia_romaniaonesta_româniei_trebuie
2025-03-01_filmele-si-cartile-din-copilarie-romaniaonesta-nicusorpresed,2025-03-01,2025Q2 campanie + investitură,0,0_românia_romaniaonesta_româniei_trebuie
2025-03-01_haideti-sa-stam-de-vorba-va-astept-mesajele-pe-whatsapp-la-0,2025-03-01,2025Q2 campanie + investitură,0,0_românia_romaniaonesta_româniei_trebuie
