entity,period,n_passages,n_docs,sentiment,confidence,rationale
ROMÂNIA,2025Q4 stabilizare + diplomație,87,26,n/a,?,timeout: 'list' object is not a mapping
ROMÂNIA,2025Q2 campanie + investitură,105,44,n/a,?,timeout: 'list' object is not a mapping
ROMÂNIA,2025Q3 deficit + reforma economică,104,24,n/a,?,timeout: 'list' object is not a mapping
ROMÂNIA,2024Q4-2025Q1 candidatură-precampanie,49,20,n/a,?,timeout: 'list' object is not a mapping
UCRAINA,2025Q3 deficit + reforma economică,17,10,pozitiv,high,"Nicușor Dan exprimă în mod repetat sprijinul României pentru Ucraina, considerând că securitatea Ucrainei este legată de securitatea României și a Republicii Moldova. El menționează ajutorul militar și colaborarea cu Ucraina."
UCRAINA,2025Q2 campanie + investitură,5,4,n/a,?,timeout: 'list' object is not a mapping
UCRAINA,2025Q4 stabilizare + diplomație,22,16,pozitiv,high,"Nicușor Dan exprimă un sprijin puternic pentru Ucraina, considerând că este în interesul României să fie vecină cu un stat care respectă ordinea internațională și subliniază importanța solidarității occidentale cu Ucraina pentru securitatea Europei și ordinea internațională. De asemenea, menționează"
ROMÂNIA,2025Q4-2026Q1 reformă judiciară,108,48,n/a,?,timeout: 'list' object is not a mapping
UCRAINA,2026Q2 cotitură UE + criză guvern,31,22,pozitiv,high,"Nicușor Dan menționează în mod repetat sprijinul pentru Ucraina în contextul războiului, procesului de aderare la UE și NATO, și colaborării militare, inclusiv producția comună de drone. De asemenea, subliniază importanța sprijinului diplomatic și a garanțiilor privind drepturile minorității româneș"
ROMÂNIA,2026Q2 cotitură UE + criză guvern,112,43,n/a,?,timeout: 'list' object is not a mapping
SUA,2025Q4 stabilizare + diplomație,7,5,pozitiv,high,"Nicușor Dan menționează SUA ca un partener pe care ne putem baza, subliniază importanța parteneriatului strategic și dorește consolidarea relațiilor economice, considerând SUA un partener care gândește ca și România în ceea ce privește ordinea internațională."
SUA,2025Q2 campanie + investitură,11,9,n/a,?,timeout: 'list' object is not a mapping
UCRAINA,2025Q4-2026Q1 reformă judiciară,22,10,n/a,?,timeout: 'list' object is not a mapping
R. MOLDOVA,2025Q2 campanie + investitură,20,14,pozitiv,high,"Nicușor Dan menționează constant Republica Moldova în contextul sprijinului pentru parcursul european, consolidarea relațiilor și ajutorul României, considerând-o parte a 'României mari'."
