status,confidence,topic,specificity,cluster_size,promise_text,verbatim_quote,source_date,source_doc_id,reasoning,supporting_evidence
NO_MENTION,high,justiție electorală,high,3,Voi candida independent la alegerile prezidențiale.,"Voi candida independent, sunt deschis la discuții cu partidele pro-europene pentru susținerea acestei candidaturi.",2024-12-16,2024-12-16_anunt-candidatura,"Niciuna dintre dovezile furnizate nu menționează în mod explicit dacă Nicușor Dan a candidat independent la alegerile prezidențiale sau dacă intenționează să facă acest lucru. Deși există referiri la campanii electorale și la candidaturi pentru funcții publice, nu se specifică statutul de 'independent' în contextul alegerilor prezidențiale.","Da, suntem în campania electorală și nu vreau să nu vreau să mă refer nominal la ceva. | Mi se pare mai interesant. Eu am candidat pentru mai multe funcții publice, încercând să cu maximă seriozitate încercând să rezolvăm problemele oamenilor și aici trebuie să fii evident personaj pozitiv."
IN_PROGRESS,high,R. Moldova,high,6,"Voi susține integrarea Republicii Moldova în Uniunea Europeană până în 2030, atât diplomatic, cât și operațional, împărtășind experiența preaderare.","Există un calendar până în 2030 pe care România trebuie să l susțină, atât din punct de vedere diplomatic, cât și din punct de vedere operațional. Avem o experiență preaderare pe care putem s o împărtășim cu Republica Moldova.",2025-05-22,2025-05-22_ce-spune-nicusor-dan-despre-relatiile-romaniei-cu-sua-si-ue,"Declarațiile lui Nicușor Dan confirmă în mod repetat susținerea integrării Republicii Moldova în Uniunea Europeană ca un obiectiv important al României. Deși nu există dovezi de acțiuni concrete finalizate pentru atingerea obiectivului până în 2030, discursurile indică o direcție clară și eforturi continue în acest sens, inclusiv discuții despre pași concreți pentru accelerarea procesului.","Vom sprijini extinderea Uniunii Europene cu accent pe aderarea Republicii Moldova. | Și pe partea de politică externă, aderarea Republicii Moldova la Uniunea Europeană este un obiectiv important al României și vom continua să acționăm pentru ca Moldova să intre în Uniunea Europeană. | Sprijinul nostru pentru Republica Moldova nu se oprește. Am discutat cu doamna Președinte Maia Sandu și partenerii europeni despre pașii concreți pentru accelerarea procesului de integrare europeană."
IN_PROGRESS,high,energie/UE,high,3,Voi extinde interconectarea energetică pentru ca Republica Moldova să fie conectată la sistemul energetic european.,"Este imperios să extindem interconectarea energetică, pentru ca Republica Moldova să fie conectată la sistemul energetic european.",2025-03-30,2025-03-30_astazi-am-discutat-cu-sustinatorii-din-chisinau-despre-impor,"Declarațiile lui Nicușor Dan menționează în mod repetat importanța proiectelor de interconectare energetică cu Republica Moldova și sprijinul pentru conectarea acesteia la sistemul energetic european. Deși se vorbește despre 'proiecte de interconectare' și 'consolidarea și extinderea proiectelor comune', nu există dovezi concrete că interconectarea a fost finalizată sau că Republica Moldova este deja conectată la sistemul energetic european, ci mai degrabă că aceste acțiuni sunt în desfășurare sau obiective urmărite.","Vorbim, cum ați spus, de domeniul energetic, proiectele de interconectare, vorbim de infrastructură pentru ca Republica Moldova să fie mai aproape de piața europeană cea mai importantă. | Avem multe proiecte majore care dau consistență tot mai semnificativă relației noastre bilaterale. Astfel, proiectele de interconectare transfrontalieră în domeniile energiei, infrastructurii, transporturilor și rețelelor digitale sunt deosebit de importante pentru a crește gradul de conectare a Republicii Moldova la Uniunea Europeană, prin România. | În ceea ce privește relația cu Republica Moldova, sprijinirea parcursului său european, consolidarea și extinderea proiectelor comune în domeniul infrastructurii energetice și de transport."
IN_PROGRESS,high,R. Moldova,medium,4,"Voi asigura că România va sprijini constant românii din Basarabia, Republica Moldova și diaspora în parcursul lor european, cu scopul de a fi împreună într-o bună zi.","Îi asigur că România va fi totdeauna tot timpul acolo pentru ei, pentru a-i ajuta în parcursul lor european și, într-o bună zi, pentru a fi împreună.",2025-05-19,2025-05-19_discurs-victorie,"Declarațiile lui ND confirmă un sprijin constant pentru Republica Moldova și integrarea sa europeană, precum și pentru românii din diaspora. Cu toate acestea, promisiunea de a fi 'împreună într-o bună zi' este un obiectiv pe termen lung, iar dovezile indică un proces continuu de sprijin, nu o finalizare a acestui obiectiv.","Prezența mea aici este o garanție a continuării sprijinului pe care România îl acordă Republicii Moldova. | Republica Moldova este și va rămâne o preocupare importantă pentru România. Vom continua să sprijinim integrarea sa în Uniunea Europeană și o integrare a celor două economii. | România rămâne cel mai sincer și ferm susținător al Republicii Moldova, pe toate palierele, în special în ceea ce privește modernizarea statului, reformele și integrarea europeană."
IN_PROGRESS,high,justiție electorală,high,3,Voi candida independent la alegerile prezidențiale din 2025 și sunt deschis la discuții cu partidele pro-europene pentru susținerea candidaturii.,voi candida Independent sunt deschis la discuții cu partidele Pro europene pentru susținerea acestei candidaturi,2024-12-16,2024-12-16_nicusor-dan-si-a-anuntat-candidatura-la-alegerile-prezidenti,"Deși promisiunea de a candida independent nu este menționată direct în extrase, există dovezi că ND a inițiat discuții cu partidele pro-europene, îndeplinind a doua parte a promisiunii. Aceste discuții sunt prezentate ca fiind în desfășurare sau planificate, indicând un status de 'în progres'.","În acel moment mă voi duce către partidele politice pentru o discuție preliminară ca să ca să evităm situația în care eventual eu aș propune și ei a respinge. | Îmi voi exercita în continuare rolul de mediator. Ca atare, i-am invitat, luni, pe liderii celor patru partide politice pro europene și pe liderul grupului parlamentar al minorităților naționale, pentru a avea o discuție tehnică și aplicată despre programele majore pentru România, precum SAFE și PNRR."
IN_PROGRESS,medium,sănătate,medium,2,Voi face din sănătatea fiecărui român o prioritate de stat.,"Sănătatea fiecărui român va fi o prioritate de stat, nu o povară pe umerii familiei.",2025-04-23,2025-04-23_sanatatea-e-un-drept-fundamental-in-romania-onesta-pe-care-o,"Deși promisiunea de a face din sănătatea fiecărui român o prioritate de stat nu este menționată explicit, există o declarație care indică o preocupare pentru o problemă specifică din sistemul de sănătate (infecțiile nosocomiale) și o solicitare către ministrul Sănătății de a elabora un plan. Aceasta sugerează că sănătatea este un subiect de interes, dar nu confirmă încă transformarea ei într-o prioritate de stat la nivel general, ci mai degrabă o acțiune punctuală.","Cer ministrului Sănătății, în primul rând, și Guvernului în ansamblu, să pună la punct un plan de combatere a infecțiilor nosocomiale din spitalele din România. Este o restanță a sistemului de sănătate care nu mai poate fi amânată."
KEPT,high,diplomație,medium,2,"Voi lucra pentru a consolida parteneriatul dintre România și Polonia, având în vedere că ambele sunt națiuni proeuropene.","România și Polonia sunt două națiuni proeuropene, iar ca președinte al României voi lucra pentru ca parteneriatul nostru să fie și mai puternic.",2025-05-25,2025-05-25_am-participat-astazi-cu-emotie-si-speranta-la-marsul-milionu,"Declarațiile lui ND după investitură confirmă în mod repetat și explicit consolidarea parteneriatului strategic cu Polonia, menționând acțiuni concrete precum discuții bilaterale și cooperare în diverse domenii. Se subliniază importanța Poloniei ca partener strategic și aliat în NATO și UE, reflectând direct promisiunea de campanie.","Polonia este un partener strategic al României, iar agenda întâlnirii noastre a vizat modalitățile de a consolida relațiile în zona bilaterală și de securitate. | România și Polonia rămân parteneri de încredere și aliați în NATO și UE. Relația noastră nu se bazează doar pe tratate, ci și pe legături interumane profunde și pe o prietenie puternică. | România și Polonia sunt legate de o lungă prietenie și de un parteneriat strategic solid. Într-un context internațional tot mai complicat, colaborarea dintre țările noastre rămâne esențială pentru securitatea și stabilitatea regiunii."
KEPT,high,justiție electorală,high,2,"Voi insista ca în spațiul public să se lămurească motivele anulării alegerilor din 24 noiembrie, pentru ca alegătorii să înțeleagă că a fost o măsură corectă și să aibă încredere în instituția alegerii.",trebuie să lămurim ca să fie foarte clar pentru toată lumea de ce s au anulat alegerile din 24 noiembrie Adică eu consider în continuare că a fost o măsură necesară a curții constituționale însă trebuie ca în spațiul public pentru alegătorii din toate categoriile simpatizanții tuturor competitorilor să înțeleagă foarte clar că aceasta a fost măsura corectă și pentru moment nu suntem la nu suntem la Momentul acela adică mai e nevoie de dovezi de a vedea ă Cine a fost în spatele candidaturii Câți bani au fost care au fost mecanismele pentru ca oamenii să fie lămuriți să aibă încredere în această instituție a alegerii care e fundamentală pentru statul din,2024-12-23,2024-12-23_nicusor-dan-despre-candidatura-lui-crin-antonescu-partidele,"Președintele Nicușor Dan a insistat în spațiul public pentru lămurirea motivelor anulării alegerilor, menționând că au apărut suficiente informații pentru a explica decizia și a restabili încrederea. A solicitat public ca motivarea să apară cât mai repede și a subliniat importanța corectării legii electorale în funcție de aceasta.","Vreau, îmi doresc ca motivarea să apară cât mai repede în spațiul public, în Monitorul Oficial și în funcție de asta îmi doresc și există, din ce am perceput disponibilitatea partidelor să corectăm legea în funcție de evident de motivarea Curții Constituționale, astfel încât să asigurăm transparența funcției publice. | După aceea, de la momentul respectiv și de la dubiul pe care, fără discuție o decizie ca asta l a dat și românilor și partenerilor noștri despre cât de viabilă e democrația noastră, cred că au apărut suficiente informații care să explice acea decizie."
IN_PROGRESS,high,NATO/apărare,high,2,Voi avea o discuție cu responsabilii pentru securitatea cibernetică pentru a face o evaluare proprie a situației.,"în primul rând trebuie să fac să am o discuție cu responsabilii, să am propria evaluare pe unde suntem. Principala amenințare în momentul acesta este securitatea cibernetică și aici din nou este nevoie de o evaluare.",2025-05-22,2025-05-22_ce-spune-nicusor-dan-despre-relatiile-romaniei-cu-sua-si-ue,"Deși există mențiuni despre evaluări și discuții pe teme de securitate, inclusiv cibernetică, nu există o confirmare explicită că discuția specifică cu responsabilii pentru securitatea cibernetică pentru o evaluare proprie a situației a fost finalizată. Declarațiile sugerează că aceste discuții sunt în curs sau urmează să aibă loc.","De asemenea, e o evaluare care a fost făcută pe chestiuni de securitate. | Da, sunt preocuparea asta abia începe. O să am discuții cu cu ministrul apărării, cu șeful statului major. | Desigur, la un moment dat o să avem această discuție aprofundată."
IN_PROGRESS,medium,diaspora,high,2,"Voi asigura un reprezentant activ al președintelui în relația cu diaspora, așa cum am promis.",În ceea ce ține de mine va exista un reprezentant activ al președintelui în relația cu diaspora. ceva ce am promis și o să facem.,2025-05-22,2025-05-22_nicusor-dan-despre-subventiile-pentru-partide-b1tv-22-mai-20,"Deși președintele menționează protejarea și promovarea drepturilor și intereselor cetățenilor români din afara granițelor ca o prioritate și intenționează inițiative pentru îmbunătățirea legăturii, nu există o mențiune explicită a numirii unui 'reprezentant activ al președintelui în relația cu diaspora'. Declarațiile indică o intenție de a acționa în acest domeniu, dar nu confirmă acțiunea specifică promisă.","Protejarea și promovarea drepturilor și intereselor cetățenilor români din afara granițelor reprezintă o prioritate a mandatului meu și pune și o punte solidă de legătură între țările noastre. | Protejarea și promovarea drepturilor și intereselor cetățenilor români din afara granițelor reprezintă o altă prioritate a mandatului meu și, de aceea, am în vedere mai multe inițiative pentru îmbunătățirea legăturii dintre statul român și comunitățile noastre din exterior."
IN_PROGRESS,high,București/local,high,1,Voi demara prezentarea publică și dezbaterile privind noile reglementări urbanistice odată ce faza de analiză a documentației PUG va fi încheiată.,"Odată încheiată faza de analiză, vom putea demara prezentarea publică și dezbaterile privind noile reglementări urbanistice.",2025-02-21,2025-02-21_ultimul-dintre-studiile-de-fundamentare-necesare-pentru-actu,"Nicușor Dan menționează în repetate rânduri că documentul (referindu-se la reglementările urbanistice sau codul urbanistic) va fi în dezbatere publică și că se așteaptă să ajungă în Parlament în februarie-martie. Acest lucru indică o intenție clară și o etapă avansată, dar nu o finalizare a procesului de prezentare publică și dezbateri.","Pe procedură această acest document va fi în dezbatere publică. | O să avem un cod urbanistic februarie, martie, estimarea mea, în Parlament și aici pare că ne îndreptăm spre centralizarea la primăria capitalei."
IN_PROGRESS,medium,economie,medium,1,"Dacă voi fi ales Președinte, mă voi asigura că programele de dezvoltare ale țării vor fi elaborate de profesioniști.","Dacă voi fi ales Președinte al României, voi avea grijă ca programele de dezvoltare a țării să fie elaborate de profesioniști.",2025-02-23,2025-02-23_am-discutat-in-acest-week-end-cu-oameni-din-ploiesti-brasov,"ND menționează în repetate rânduri importanța profesionalismului și a experților în elaborarea programelor și strategiilor țării, inclusiv pe partea economică. Deși există un angajament clar și numiri de consilieri profesioniști, nu există dovezi concrete că programele de dezvoltare ale țării au fost deja elaborate exclusiv de profesioniști, ci mai degrabă o intenție și un efort în această direcție.","Aceste numiri reflectă angajamentul meu pentru o administrație profesionistă, eficientă și în deplin acord cu prioritățile mandatului prezidențial. | Deci eu cred că putem să scoatem de data asta în condiții mult mai bune efortul ăsta la capăt și să vină niște miliarde în plus la buget, dar să lucrăm profesionist politic la început pe mandat și dup aia profesioniști și cu specialiști sub această nu acoperire, sub acest sprijin politic permanent pe care președintele și premierul trebuie să l dea. | Ca să faci un proiect de țară trebuie să ai contribuții de la multe categorii profesionale."
NO_MENTION,high,București/local,high,1,Voi deschide încă cel puțin 5 șantiere pentru consolidarea clădirilor vulnerabile până la finalul anului.,obiectivul nostru este să deschidem încă cel puțin 5 șantiere până la finalul anului.,2025-03-04,2025-03-04_astazi-se-implinesc-48-de-ani-de-la-cutremurul-devastator-ca,"Niciuna dintre dovezile furnizate nu menționează direct sau indirect deschiderea de șantiere pentru consolidarea clădirilor vulnerabile. Discuțiile se referă la aspecte tehnice legate de clădiri, legislație imobiliară, energie nucleară sau exerciții militare, dar nu la promisiunea specifică de consolidare.",
IN_PROGRESS,medium,legi/reformă instituțională,low,1,"Voi fi un președinte activ și implicat, care va folosi toate puterile constituționale pentru a determina Guvernul să pună în aplicare cele mai eficiente soluții pentru problemele cetățenilor.","Dacă voi avea încrederea românilor, voi fi un președinte activ și implicat, care va folosi toate puterile constituționale pentru a determina Guvernul să pună în aplicare cele mai eficiente soluții pentru problemele cetățenilor.",2025-02-26,2025-02-26_daca-voi-avea-increderea-romanilor-voi-fi-un-presedinte-acti,"Președintele Nicușor Dan menționează rolul său constituțional de mediator și intenția de a rezolva problemele oamenilor, dar evidența nu arată acțiuni concrete de 'a determina Guvernul să pună în aplicare cele mai eficiente soluții', ci mai degrabă consultări și numiri. Promisiunea de a fi un președinte 'activ și implicat' este susținută de declarații, dar nu și partea de 'a determina Guvernul'.","constituția îmi dă un rol de mediator pentru ce se întâmplă acum și ce eventual se va întâmpla mai încolo. | Eu am candidat pentru mai multe funcții publice, încercând să cu maximă seriozitate încercând să rezolvăm problemele oamenilor și aici trebuie să fii evident personaj pozitiv. | o să mă consult cu partidele, dar numirea în mod constituțional o face președintele."
IN_PROGRESS,medium,București/local,medium,1,"Dacă voi fi ales președinte, voi dedica timp și energie pentru rezolvarea problemelor de urbanism, inclusiv cele legate de construcții care afectează monumente istorice.","Dacă voi fi ales președinte, o să dedic timp și energie și pentru rezolvarea acestor probleme.",2025-02-27,2025-02-27_in-sibiu-am-descoperit-aceleasi-probleme-ca-la-bucuresti-cup,"Deși Nicușor Dan menționează în discursuri că își dorește să pună ordine în urbanism și să lupte împotriva 'mafiei imobiliare', nu există dovezi concrete de acțiuni întreprinse în calitate de președinte pentru rezolvarea problemelor de urbanism sau a celor legate de construcții care afectează monumente istorice. Declarațiile sale sunt mai degrabă la nivel de intenție și dorință.","Îmi doresc să fie evident, îmi doresc să fie cineva care să pune ordine în bani, în urbanism și să dezvolte infrastructura. | Eu sunt un bucureștean care are un vot și sunt un fost primar care evident că s a preocupat de orașul ăsta și și ar dori și ar dori ca investițiile să continue și și ar dori ca ăă mafia imobiliară care a operat să nu mai opereze."
