id,data,period,topic_id,topic_label
2025-05-08_dezbatere-euronews-simion,2025-05-08,2025Q2 campanie + investitură,0,0_românia_parte_trebuie_spus
2024-12-16_anunt-candidatura,2024-12-16,2024Q4-2025Q1 candidatură-precampanie,-1,-1_românia_trebuie_spus_ani
2025-02-03_lansare-campanie-romania-onesta,2025-02-03,2024Q4-2025Q1 candidatură-precampanie,-1,-1_românia_trebuie_spus_ani
2025-05-19_discurs-victorie,2025-05-19,2025Q2 campanie + investitură,7,7_nicușor_românia_împreună_construit
2025-05-26_discurs-investitura,2025-05-26,2025Q2 campanie + investitură,5,5_românia_național_privește_statului
2025-06-04_conferinta-presa-cotroceni,2025-06-04,2025Q3 deficit + reforma economică,1,1_există_cred_spus_momentul
2025-09-04_autoevaluare-100-zile,2025-09-04,2025Q4 stabilizare + diplomație,1,1_există_cred_spus_momentul
2025-12-31_mesaj-anul-nou,2025-12-31,2025Q4-2026Q1 reformă judiciară,5,5_românia_național_privește_statului
2024-12-04_political-studio-nicusor-dan-the-signal-is-good-even-if-it-i,2024-12-04,2024Q4-2025Q1 candidatură-precampanie,3,3_cred_trebuie_oamenii_făcut
2024-12-16_nicusor-dan-despre-calin-georgescu-in-ceea-ce-priveste-conte,2024-12-16,2024Q4-2025Q1 candidatură-precampanie,3,3_cred_trebuie_oamenii_făcut
2024-12-16_nicusor-dan-intentionez-sa-candidez-ca-independent-la-aleger,2024-12-16,2024Q4-2025Q1 candidatură-precampanie,-1,-1_românia_trebuie_spus_ani
2024-12-16_nicusor-dan-si-a-anuntat-candidatura-la-alegerile-prezidenti,2024-12-16,2024Q4-2025Q1 candidatură-precampanie,-1,-1_românia_trebuie_spus_ani
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,2024Q4-2025Q1 candidatură-precampanie,3,3_cred_trebuie_oamenii_făcut
2024-12-19_nicusor-dan-dupa-retragerea-psd-de-la-negocieri-sunt-surprin,2024-12-19,2024Q4-2025Q1 candidatură-precampanie,3,3_cred_trebuie_oamenii_făcut
2024-12-23_nicusor-dan-despre-candidatura-lui-crin-antonescu-partidele,2024-12-23,2024Q4-2025Q1 candidatură-precampanie,3,3_cred_trebuie_oamenii_făcut
2024-12-25_mesajul-lui-nicusor-dan-pentru-romani-stiri-b1tv-25-dec-2024,2024-12-25,2024Q4-2025Q1 candidatură-precampanie,5,5_românia_național_privește_statului
2024-12-30_nicusor-dan-candidez-indiferent-de-ce-va-fi-stiri-b1tv-30-de,2024-12-30,2024Q4-2025Q1 candidatură-precampanie,3,3_cred_trebuie_oamenii_făcut
2024-12-30_nicusor-dan-despre-calin-georgescu-stiri-b1tv-30-dec-2024,2024-12-30,2024Q4-2025Q1 candidatură-precampanie,4,4_momentul_campania_trebuie_există
2025-01-09_nicusor-dan-critica-decizia-coalitiei-privind-data-alegerilo,2025-01-09,2024Q4-2025Q1 candidatură-precampanie,3,3_cred_trebuie_oamenii_făcut
2025-01-13_nicusor-dan-explicatiile-privind-anularea-prezidentialelor-s,2025-01-13,2024Q4-2025Q1 candidatură-precampanie,4,4_momentul_campania_trebuie_există
2025-01-18_nicusor-dan-cere-explicatii-pentru-anulare-stiri-b1tv-18-ian,2025-01-18,2024Q4-2025Q1 candidatură-precampanie,3,3_cred_trebuie_oamenii_făcut
2025-01-30_nicusor-dan-despre-alegerile-prezidentiale-daca-va-castiga-g,2025-01-30,2024Q4-2025Q1 candidatură-precampanie,3,3_cred_trebuie_oamenii_făcut
2025-02-04_nicusor-dan-declara-iar-ca-nu-se-retrage-din-cursa-in-turul,2025-02-04,2024Q4-2025Q1 candidatură-precampanie,3,3_cred_trebuie_oamenii_făcut
2025-02-05_nicusor-dan-cand-statul-se-imprumuta-ca-sa-plateasca-deficit,2025-02-05,2024Q4-2025Q1 candidatură-precampanie,-1,-1_românia_trebuie_spus_ani
2025-02-05_nicusor-dan-despre-scandalul-nordis-mult-din-ce-se-construie,2025-02-05,2024Q4-2025Q1 candidatură-precampanie,3,3_cred_trebuie_oamenii_făcut
2025-02-08_nicusor-dan-reactie-in-scandalul-cu-lasconi-stiri-b1tv-8-feb,2025-02-08,2024Q4-2025Q1 candidatură-precampanie,3,3_cred_trebuie_oamenii_făcut
2025-02-16_nicusor-dan-vrem-sa-cumparam-inca-250-de-tramvaie-si-sa-mode,2025-02-16,2024Q4-2025Q1 candidatură-precampanie,-1,-1_românia_trebuie_spus_ani
2025-02-24_nicusor-dan-despre-demisia-lui-ciolacu-stiri-b1tv-24-febr-20,2025-02-24,2024Q4-2025Q1 candidatură-precampanie,3,3_cred_trebuie_oamenii_făcut
