id,date,tip,period,n_words,n_hedging,n_certitudine,n_personal,hedge_per_1000w,cert_per_1000w,personal_per_1000w,hedge_cert_ratio
2025-02-21_discutiile-internationale-despre-reconfigurarea-securitatii,2025-02-21,facebook-post,2024Q4-2025Q1 candidatură-precampanie,85,1,4,0,11.764705882352942,47.05882352941177,0.0,0.2
2025-02-21_ultimul-dintre-studiile-de-fundamentare-necesare-pentru-actu,2025-02-21,facebook-post,2024Q4-2025Q1 candidatură-precampanie,242,0,1,0,0.0,4.132231404958677,0.0,0.0
2025-02-21_vrei-sa-fii-parte-din-schimbare-alatura-te-echipei-de-volunt,2025-02-21,facebook-post,2024Q4-2025Q1 candidatură-precampanie,59,0,0,0,0.0,0.0,0.0,0.0
2025-02-22_bucurestiul-este-finalist-la-premiile-saptamanii-europene-a,2025-02-22,facebook-post,2024Q4-2025Q1 candidatură-precampanie,67,0,0,0,0.0,0.0,0.0,0.0
2025-02-23_am-discutat-in-acest-week-end-cu-oameni-din-ploiesti-brasov,2025-02-23,facebook-post,2024Q4-2025Q1 candidatură-precampanie,160,1,1,0,6.25,6.25,0.0,0.5
2025-02-23_felicit-blocul-de-centru-dreapta-pro-european-cdu-csu-pentru,2025-02-23,facebook-post,2024Q4-2025Q1 candidatură-precampanie,122,0,0,1,0.0,0.0,8.19672131147541,0.0
2025-02-23_grup-de-suport-pentru-femeile-afectate-de-violenta-domestica,2025-02-23,facebook-post,2024Q4-2025Q1 candidatură-precampanie,84,0,1,0,0.0,11.904761904761905,0.0,0.0
2025-02-24_proiectul-politic-care-va-avea-cei-mai-multi-cei-mai-entuzia,2025-02-24,facebook-post,2024Q4-2025Q1 candidatură-precampanie,58,0,0,0,0.0,0.0,0.0,0.0
2025-02-25_cifrele-vorbesc-clar-suntem-pe-drumul-cel-bun-si-romania-one,2025-02-25,facebook-post,2024Q4-2025Q1 candidatură-precampanie,75,0,2,0,0.0,26.666666666666668,0.0,0.0
2025-02-26_daca-voi-avea-increderea-romanilor-voi-fi-un-presedinte-acti,2025-02-26,facebook-post,2024Q4-2025Q1 candidatură-precampanie,37,0,0,0,0.0,0.0,0.0,0.0
2025-02-26_suntem-aproape-de-100-000-de-semnaturi-pentru-depunerea-cand,2025-02-26,facebook-post,2024Q4-2025Q1 candidatură-precampanie,80,0,0,0,0.0,0.0,0.0,0.0
2025-02-27_500-de-copii-vor-fi-ajutati-sa-ramana-alaturi-de-familiile-l,2025-02-27,facebook-post,2024Q4-2025Q1 candidatură-precampanie,187,0,0,0,0.0,0.0,0.0,0.0
2025-02-27_in-sibiu-am-descoperit-aceleasi-probleme-ca-la-bucuresti-cup,2025-02-27,facebook-post,2024Q4-2025Q1 candidatură-precampanie,59,1,0,0,16.949152542372882,0.0,0.0,1.0
2025-02-27_toata-viata-mea-am-luptat-pentru-dreptate-pentru-protectia-c,2025-02-27,facebook-post,2024Q4-2025Q1 candidatură-precampanie,105,1,1,1,9.523809523809524,9.523809523809524,9.523809523809524,0.5
2025-02-28_este-profund-ingrijorator-ca-romania-a-fost-retrogradata-in,2025-02-28,facebook-post,2024Q4-2025Q1 candidatură-precampanie,166,0,0,0,0.0,0.0,0.0,0.0
2025-02-28_sust-in-ferm-ucraina-i-n-lupta-sa-pentru-o-pace-justa-s-i-su,2025-02-28,facebook-post,2024Q4-2025Q1 candidatură-precampanie,66,0,3,1,0.0,45.45454545454545,15.151515151515152,0.0
2025-03-01_haideti-sa-stam-de-vorba-va-astept-mesajele-pe-whatsapp-la-0,2025-03-01,facebook-post,2025Q2 campanie + investitură,37,0,0,0,0.0,0.0,0.0,0.0
2025-03-01_traim-poate-cele-mai-provocatoare-vremuri-din-ultimele-decen,2025-03-01,facebook-post,2025Q2 campanie + investitură,30,1,0,0,33.333333333333336,0.0,0.0,1.0
2025-03-02_91-de-statii-stb-vor-primi-denumiri-noi-mai-precise-care-ref,2025-03-02,facebook-post,2025Q2 campanie + investitură,119,0,0,0,0.0,0.0,0.0,0.0
2025-03-02_cea-mai-entuziasta-echipa-de-voluntari-la-nivel-national-ei,2025-03-02,facebook-post,2025Q2 campanie + investitură,43,0,0,0,0.0,0.0,0.0,0.0
2025-03-02_marim-capacitatea-de-cazare-a-adapostului-de-caini-aspa-miha,2025-03-02,facebook-post,2025Q2 campanie + investitură,83,0,0,0,0.0,0.0,0.0,0.0
2025-03-03_am-avut-onoarea-sa-primesc-astazi-la-sediul-primariei-capita,2025-03-03,facebook-post,2025Q2 campanie + investitură,153,0,0,0,0.0,0.0,0.0,0.0
2025-03-04_astazi-se-implinesc-48-de-ani-de-la-cutremurul-devastator-ca,2025-03-04,facebook-post,2025Q2 campanie + investitură,208,0,0,0,0.0,0.0,0.0,0.0
2025-03-04_azi-serviciul-de-informatii-externe-al-rusiei-a-dat-un-comun,2025-03-04,facebook-post,2025Q2 campanie + investitură,121,0,0,1,0.0,0.0,8.264462809917354,0.0
2025-03-04_in-2019-am-facut-o-promisiune-simpla-dar-esentiala-primaria,2025-03-04,facebook-post,2025Q2 campanie + investitură,39,0,1,0,0.0,25.641025641025642,0.0,0.0
2025-03-05_astazi-am-avut-o-intalnire-extrem-de-interesanta-cu-reprezen,2025-03-05,facebook-post,2025Q2 campanie + investitură,256,2,0,0,7.8125,0.0,0.0,2.0
2025-03-05_interventia-presedintelui-trump-de-azi-noapte-din-congres-es,2025-03-05,facebook-post,2025Q2 campanie + investitură,134,0,0,0,0.0,0.0,0.0,0.0
2025-03-05_organizam-cursuri-de-initiere-in-lumea-digitala-pentru-senio,2025-03-05,facebook-post,2025Q2 campanie + investitură,209,0,0,0,0.0,0.0,0.0,0.0
2025-03-06_copiii-familia-iubirea-care-ne-tine-ancorati-in-aceasta-lume,2025-03-06,facebook-post,2025Q2 campanie + investitură,34,0,0,1,0.0,0.0,29.41176470588235,0.0
